"Mesure","Claude style Duras","Claude style Fourth Wing","Autobiographie des objets","Prison","Sortie d'usine","L'Éducation Sentimentale","Madame Bovary","Salammbô","Trois contes","LES CARACTÈRES","Cherokee","Courir","Des éclairs","L'équipée malaise","Lac","Ravel","Vie de Gérard Fulmard","Le créateur chimérique","Les maîtres-feu","Les olympiades truquées.","Pollen","La Princesse de Clèves","Du côté de chez Swan","Le temps retrouvé","L'Été 80","Le Ravissement de Lol V. Stein","L’Amant","Un barrage contre le Pacifique","Anéantir","Extension du domaine de la lutte","La Carte et le Territoire","La possibilité d'une île","Les particules élémentaires","Plateforme","Soumission","Motel Valparaiso","487 000 signes 473","487 000 signes 473","Ginkoo-Bilooba, chronique d'une utopie modeste","Nouvelles horroristiques","Nouvelles humouristiques","J'écris l'Iliade","La Grande Beune","Les deux Beune","Vies minuscules","Fourth wing - Tome 1","Comme elle l'imagine","Un puma dans le coeur","Clitoria","La Quatrième Théorie","Le Code Houellebecq","Le geste qui sauve","L’expérience humaine","Mon père, ce tueur","Rush","Résistants","Ératosthène","σ ?"
"Densité de phrases nominales ?","31 %","28 %","15 %","14 %","33 %","12 %","8 %","8 %","18 %","12 %","9 %","8 %","14 %","10 %","13 %","10 %","13 %","16 %","17 %","19 %","18 %","3 %","12 %","9 %","12 %","8 %","13 %","6 %","23 %","19 %","13 %","13 %","7 %","14 %","26 %","13 %","40 %","32 %","46 %","22 %","25 %","17 %","11 %","18 %","11 %","23 %","19 %","13 %","15 %","29 %","12 %","13 %","25 %","9 %","18 %","9 %","19 %","39.7 %"
"Noms abstraits ?","6 %","5 %","10 %","4 %","7 %","6 %","5 %","3 %","6 %","9 %","4 %","8 %","10 %","7 %","5 %","5 %","9 %","15 %","12 %","11 %","7 %","12 %","11 %","11 %","6 %","12 %","6 %","7 %","13 %","14 %","10 %","12 %","11 %","11 %","18 %","7 %","10 %","6 %","7 %","4 %","6 %","4 %","3 %","3 %","7 %","8 %","10 %","9 %","11 %","7 %","13 %","10 %","6 %","11 %","11 %","7 %","8 %","39.3 %"
"Densité de relatives et subordonnées ?","82 %","262 %","181 %","624 %","208 %","101 %","188 %","142 %","108 %","241 %","184 %","215 %","274 %","170 %","209 %","272 %","242 %","125 %","134 %","108 %","96 %","198 %","374 %","320 %","123 %","140 %","131 %","155 %","133 %","89 %","159 %","134 %","98 %","88 %","202 %","105 %","81 %","96 %","90 %","87 %","106 %","103 %","162 %","147 %","202 %","110 %","149 %","153 %","123 %","57 %","136 %","103 %","95 %","148 %","130 %","101 %","96 %","36.8 %"
"Diversité de longueurs de phrase ?","6.3","24.1","18.7","80.4","20.6","16.2","15.5","15.6","12.3","23.2","20.1","12.1","17.4","12.3","18.5","14.8","14.9","10.4","9.8","9.7","7.5","17.7","34.4","33.7","16.8","10.0","14.0","11.0","15.4","10.1","21.9","17.3","12.5","10.3","29.5","7.9","12.7","16.1","16.9","10.5","12.3","19.2","42.9","42.8","41.1","9.9","12.0","11.8","9.0","5.6","11.1","9.6","9.3","10.8","12.1","7.4","8.8","35.8 %"
"Taux de rupture temporelle ?","23 %","35 %","58 %","60 %","26 %","48 %","44 %","58 %","36 %","38 %","57 %","25 %","32 %","35 %","55 %","10 %","55 %","52 %","40 %","56 %","61 %","38 %","63 %","55 %","0 %","45 %","56 %","52 %","52 %","39 %","60 %","64 %","68 %","78 %","54 %","61 %","33 %","38 %","46 %","40 %","53 %","68 %","38 %","38 %","78 %","33 %","76 %","40 %","11 %","61 %","59 %","37 %","27 %","54 %","54 %","56 %","12 %","33.3 %"
"Négativité ?","27 %","46 %","29 %","42 %","34 %","10 %","14 %","5 %","8 %","24 %","14 %","33 %","25 %","17 %","23 %","29 %","26 %","12 %","18 %","15 %","17 %","23 %","40 %","32 %","17 %","25 %","25 %","22 %","18 %","18 %","21 %","22 %","10 %","14 %","19 %","15 %","13 %","11 %","19 %","12 %","13 %","17 %","18 %","17 %","17 %","17 %","17 %","21 %","14 %","16 %","19 %","12 %","16 %","21 %","17 %","24 %","19 %","33.0 %"
"Connecteurs logiques ?","25 %","49 %","61 %","62 %","49 %","29 %","40 %","48 %","41 %","65 %","50 %","66 %","116 %","40 %","46 %","67 %","64 %","35 %","44 %","33 %","21 %","51 %","47 %","61 %","38 %","25 %","37 %","27 %","50 %","36 %","51 %","74 %","44 %","39 %","61 %","26 %","46 %","49 %","39 %","33 %","43 %","31 %","60 %","51 %","109 %","30 %","28 %","40 %","36 %","18 %","28 %","33 %","29 %","29 %","28 %","28 %","25 %","32.1 %"
"Style verbal ?","2.38","2.64","2.84","5.21","3.23","2.85","2.56","3.01","3.40","1.96","2.91","2.05","3.25","3.38","3.65","3.04","2.72","3.57","3.05","3.23","3.91","2.21","3.78","3.44","2.09","1.84","1.71","2.24","4.64","2.42","3.11","2.66","3.14","3.26","4.06","2.10","3.91","3.97","5.61","2.50","3.42","2.50","2.36","2.46","2.64","5.13","4.87","3.38","3.61","2.87","2.76","4.86","3.73","2.22","3.31","2.26","3.56","25.3 %"
"Verbes d’action ?","51 %","46 %","41 %","44 %","53 %","71 %","67 %","74 %","78 %","34 %","69 %","53 %","60 %","57 %","68 %","52 %","44 %","50 %","53 %","53 %","66 %","34 %","41 %","42 %","48 %","39 %","31 %","58 %","35 %","40 %","38 %","37 %","52 %","45 %","39 %","34 %","47 %","59 %","55 %","62 %","51 %","48 %","62 %","61 %","61 %","50 %","59 %","51 %","76 %","62 %","54 %","53 %","71 %","37 %","62 %","36 %","73 %","23.0 %"
"Densité de voix active ?","57 %","49 %","73 %","39 %","59 %","67 %","69 %","80 %","66 %","59 %","64 %","78 %","72 %","70 %","69 %","72 %","71 %","49 %","53 %","49 %","34 %","74 %","30 %","29 %","59 %","64 %","67 %","70 %","37 %","55 %","58 %","60 %","63 %","50 %","52 %","61 %","32 %","53 %","35 %","59 %","47 %","62 %","73 %","67 %","67 %","20 %","43 %","55 %","61 %","46 %","60 %","47 %","56 %","68 %","64 %","65 %","54 %","21.5 %"
